 ,Area,Mean,Min,Max
1,78195,95.276,53,206
2,74965,85.448,44,188
3,63332,86.563,45,165
4,76279,81.928,41,196
5,73135,79.099,41,179
6,62987,93.957,48,161
7,62137,85.066,43,167
8,69355,81.470,42,158
9,54462,85.563,46,151
10,70478,84.284,43,172
11,65796,86.249,48,171
12,52752,86.193,48,203
13,47555,80.213,46,172
14,62540,89.809,48,185
15,62193,91.394,54,183
16,73432,95.246,55,186
17,59432,92.169,52,197
18,42819,86.805,53,190
19,44971,88.610,54,182
20,51058,79.484,43,164
21,57513,89.301,50,187
22,74657,84.506,44,175
23,54858,84.979,44,179
24,51321,92.595,54,203
25,49082,75.992,44,173
26,60423,92.492,53,196
27,55718,75.563,44,166
28,61322,75.702,38,167
29,69608,76.386,41,172
30,61517,76.566,42,141
31,63664,80.344,41,180
32,71117,80.262,41,210
33,82799,79.263,42,189
34,70618,75.867,35,178
